date,Firm,Sample,Turnout,People%27s_Party_(Spain),Spanish_Socialist_Workers%27_Party,Popular_Unity_(Spain),"Union,_Progress_and_Democracy",Convergence_and_Union,EH_Bildu,Basque_Nationalist_Party,Republican_Left_of_Catalonia%E2%80%93Catalonia_Yes,Galician_Nationalist_Bloc,Canarian_Coalition,Coalici%C3%B3_Comprom%C3%ADs,Citizens_(Spanish_political_party),Podemos_(Spanish_political_party),Democratic_Convergence_of_Catalonia,Democracy_and_Freedom,"Plural_Left_(Spain,_2011)",Lead,Amaiur
2013-10-14,Intercampo/GETS[443],1726,NA,28.3,34.8,NA,6.8,2.3,NA,1.6,2.2,NA,NA,NA,NA,NA,NA,NA,12.7,6.5,NA
2013-10-14,Intercampo/GETS[443],1726,NA,26.5,35.6,NA,7.2,2.4,NA,1.8,2.6,NA,NA,NA,NA,NA,NA,NA,13.8,9.1,NA
2013-10-11,NC Report/La Razón[444][445],920,58.8,35,26.9,NA,7.8,2.8,1.6,1.6,2.2,NA,NA,NA,NA,NA,NA,NA,12.226/28,8.1,NA
2013-10-10,GAD3/Antena 3[446][447],805,NA,33.2,25.8,NA,8.6,3,1.4,1.4,2.6,NA,NA,NA,NA,NA,NA,NA,13.328,7.4,NA
2013-10-09,CIS[448][449][450],2485,NA,34,26.8,NA,7.7,2.9,1.2,1.2,2.5,1.1,0.5,0.5,NA,NA,NA,NA,11.324,7.2,NA
2013-10-07,Simple Lógica[451],1001,51,27.5,21.6,NA,13.8,3,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,12.6,5.9,NA
2013-10-05,Celeste-Tel[452],1100,53.9,31.5,28.1,NA,8,2.4,1.6,1.4,2.3,0.8,0.9,1.2,1.3,NA,NA,NA,13.728/31,3.4,NA
2013-10-03,Metroscopia/El País[453][454][455],1000,62,34.1,29,NA,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,5.1,NA
2013-09-27,InvyMark/laSexta[456],NA,NA,26,23.5,NA,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8,2.5,NA
2013-09-20,NC Report[457],955,NA,33.8,26.5,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7,7.3,NA
2013-09-13,GAD3/Antena 3[458][459],935,NA,32.4,27.4,NA,9.3,3.1,1.4,1.4,2.1,NA,NA,NA,NA,NA,NA,NA,12.827,5.0,NA
2013-09-13,InvyMark/laSexta[460],NA,NA,26.1,23.6,NA,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7,2.5,NA
2013-09-09,Simple Lógica[451],NA,NA,28.1,23.3,NA,13.3,2.6,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,14.9,4.8,NA
2013-09-06,Celeste-Tel[461],1100,52.3,30.9,27.8,NA,8.3,2.6,1.7,1.5,2.3,0.8,0.9,1.3,1.2,NA,NA,NA,14.228/31,3.1,NA
2013-09-06,Feedback/La Vanguardia[462],1500,58.6,37.9,25.2,NA,9.6,3.4,1.4,1.2,2.1,NA,NA,NA,NA,NA,NA,NA,12.037,12.7,NA
2013-09-05,Metroscopia/El País[463][464][465],700,62,30.1,30.5,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,0.4,NA
2013-08-30,MyWord/Cadena SER[466][467],1000,NA,28.4,20.9,NA,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0,7.5,NA
2013-08-10,Simple Lógica[451],1025,NA,29.6,22.2,NA,10.2,1.9,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,16.5,7.4,NA
2013-07-31,TNS Demoscopia[468],1000,57,30,25,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0,5.0,NA
2013-07-31,Celeste-Tel[469],1100,50.8,31.3,27.1,NA,8.2,2.6,1.7,1.5,2.2,0.7,0.9,1.3,1.4,NA,NA,NA,14.028/29,4.2,NA
2013-07-25,Metroscopia/El País[470][471][472],1000,65,34.7,27.5,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.428,7.2,NA
2013-07-25,Metroscopia/El País[470][471][472],1000,52,23,22.8,NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2,0.2,NA
2013-07-18,Sigma Dos/El Mundo[473],1000,NA,30.7,27.8,NA,8.3,4.2,1.1,1.4,1.6,NA,NA,NA,NA,NA,NA,NA,14.3,2.9,NA
2013-07-10,CIS[474][475][476],2476,NA,32.5,27.2,NA,8.8,3.1,1.4,1.4,2.3,0.7,0.5,0.9,NA,NA,NA,NA,11.526,5.3,NA
2013-07-09,Simple Lógica[451],1012,NA,25.8,24.2,NA,12.3,3.4,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,14.7,1.6,NA
2013-07-05,Celeste-Tel[477],1100,51.2,31.7,27,NA,8,2.7,1.6,1.6,2.2,0.7,0.9,1.4,1.4,NA,NA,NA,13.626/28,4.7,NA
2013-07-05,InvyMark/laSexta[478],NA,NA,29.1,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA
2013-07-04,Metroscopia/El País[479][480][481],1000,52,23,21.6,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6,1.4,NA
2013-06-28,GESOP/El Periódico[482][483],1000,NA,28.1,25.5,NA,12.2,3,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,15.648/50,2.6,NA
2013-06-18,MyWord/Cadena SER[484][485],1000,NA,30.3,22,NA,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,8.3,NA
2013-06-14,InvyMark/laSexta[486],NA,NA,28.9,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA
2013-06-11,Simple Lógica[451],1018,NA,31.9,21.2,NA,10.6,3.7,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,12.9,10.7,NA
2013-06-07,Celeste-Tel[487],1100,49.9,30.9,26.5,NA,8.4,2.9,1.5,1.6,2.1,0.6,0.9,1.5,1.6,NA,NA,NA,13.826/28,4.4,NA
2013-06-06,Metroscopia/El País[488][489][490],1000,52,24.5,21.5,NA,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,3.0,NA
2013-06-03,Asturbarómetro/El Comercio[491],403,NA,39.7,25.6,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3,14.1,NA
2013-05-30,GAD3/Antena 3[492][493],1000,NA,34.1,25.7,NA,9.7,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.526,8.4,NA
2013-05-23,NC Report[494],955,NA,32.6,25.2,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,7.4,NA
2013-05-18,Metroscopia/El País[495][496],14000,55,28.6,25.1,NA,10.7,2.9,1.5,1.1,2.7,1,0.8,0.6,NA,NA,NA,NA,15.948,3.5,NA
2013-05-10,Sigma Dos/El Mundo[497],1000,NA,35.4,25.3,NA,9.6,4.3,NA,1.4,1.5,NA,NA,NA,NA,NA,NA,NA,13.4,10.1,NA
2013-05-10,InvyMark/laSexta[498],NA,NA,29,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA
2013-05-10,Simple Lógica[451],987,NA,29.2,22.4,NA,12.6,1.7,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,14.0,6.8,NA
2013-05-09,Metroscopia/El País[499][500][501],1000,52,22.5,20.2,NA,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6,2.3,NA
2013-05-08,MyWord/Cadena SER[502][503],1000,NA,28.7,24.4,NA,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,4.3,NA
2013-05-07,Celeste-Tel[504],1100,46.6,30.5,26.7,NA,8.9,3,1.6,1.5,2.2,0.5,1,1.6,1.7,NA,NA,NA,14.026/29,3.8,NA
2013-04-12,InvyMark/laSexta[505],NA,NA,29.2,24.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA
2013-04-08,Simple Lógica[451],1010,NA,29.2,21.4,NA,11.8,2.8,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,13.6,7.8,NA
2013-04-08,CIS[506][507][508],2482,NA,34,28.2,NA,7.4,3.4,0.9,1.2,2,0.7,0.9,0.5,NA,NA,NA,NA,9.920,5.8,NA
2013-04-05,Celeste-Tel[509],1100,44.1,30.4,27.1,NA,8.6,3.2,1.6,1.5,2.1,0.5,1.1,1.7,1.6,NA,NA,NA,13.926/28,3.3,NA
2013-04-04,Metroscopia/El País[510][511][512],1000,53,24.5,23,NA,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,1.5,NA
2013-03-22,InvyMark/laSexta[513],NA,NA,29.1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA
2013-03-08,Simple Lógica[514],1017,48.3,31.2,21.5,NA,11.2,2.2,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,14.2,9.7,NA
2013-03-06,Celeste-Tel[515],1100,44.3,29.4,27.8,NA,8.6,3.4,1.6,1.5,2,0.6,1.1,1.8,NA,NA,NA,NA,13.825/28,1.6,NA
2013-03-01,InvyMark/laSexta[513],NA,NA,29,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0,NA
2013-02-28,Metroscopia/El País[516][517][518],1000,53,24.3,23.1,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,1.2,NA
2013-02-15,InvyMark/laSexta[519],NA,NA,29.4,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA
2013-02-08,Sigma Dos/El Mundo[520],1000,NA,33.5,28.2,NA,10,4,1.3,1.3,1.4,NA,NA,NA,NA,NA,NA,NA,12.3,5.3,NA
2013-02-08,Simple Lógica[514],NA,NA,33.3,24.2,NA,9.9,3.2,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,13.0,9.1,NA
2013-02-06,Celeste-Tel[521],1100,49.2,29.8,28.6,NA,9.1,3.7,1.6,1.6,1.6,0.6,1,1.8,NA,NA,NA,NA,12.823/25,1.2,NA
2013-02-01,Metroscopia/El País[522][523][524],2000,53,23.9,23.5,NA,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,0.4,NA
2013-01-29,GESOP/El Periódico[525][526],1000,NA,30.2,28,NA,11.5,3,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,12.322/25,2.2,NA
2013-01-25,InvyMark/laSexta[527],NA,NA,30,24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,NA
2013-01-21,NC Report[528],955,NA,36.5,26.3,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,10.2,NA
2013-01-14,CIS[529][530][531],2483,NA,35,30.2,NA,6.8,3.6,0.9,1.3,2,0.8,0.9,1.1,NA,NA,NA,NA,9.418,4.8,NA
2013-01-11,InvyMark/laSexta[532],NA,NA,30.6,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA
2013-01-11,Simple Lógica[514],NA,NA,32.5,25.5,NA,10.5,3.2,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,13.2,7.0,NA
2013-01-10,Metroscopia/El País[533][534][535],1000,61,29.8,23.3,NA,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,6.5,NA
2013-01-09,Celeste-Tel[536],1100,58.9,32.8,28.6,NA,8.2,3.8,1.5,1.6,1.7,0.7,0.9,1.6,NA,NA,NA,NA,12.021/23,4.6,NA
2012-12-28,Sigma Dos/El Mundo[537][538],1000,NA,36.7,30.7,NA,7.1,4,1.2,1.2,NA,NA,NA,6,NA,NA,NA,NA,9.8,NA,1.3
2012-12-21,InvyMark/laSexta[532],NA,NA,30.9,24.7,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA
2012-12-12,Celeste-Tel[539],1100,58.4,33.1,28.5,NA,8.5,3.6,1.5,1.8,0.7,0.7,1.6,4.6,NA,NA,NA,NA,11.821/23,NA,1.57
2012-12-10,Simple Lógica[514],1009,NA,33.6,23,NA,9.9,3.2,1.4,NA,NA,NA,NA,10.6,NA,NA,NA,NA,13.5,NA,NA
2012-11-29,Metroscopia/El País[540][541][542],1000,61,31.3,22.7,NA,10.2,NA,NA,NA,NA,NA,NA,8.6,NA,NA,NA,NA,13.3,NA,NA
2012-11-09,Celeste-Tel[543],1100,58.4,33.6,28.3,NA,8.4,3.6,1.7,1.9,0.7,0.8,1.4,5.3,NA,NA,NA,NA,12.022/25,NA,1.57
2012-11-09,InvyMark/laSexta[544],NA,NA,32,26,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
2012-11-08,Simple Lógica[514],1025,NA,34.5,24.3,NA,10.1,3.8,1,NA,NA,NA,NA,10.2,NA,NA,NA,NA,13.4,NA,NA
2012-11-07,Metroscopia/El País[545][546][547],1000,61,31.8,22.9,NA,8.5,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,12.9,NA,NA
2012-10-31,MyWord/Cadena SER[548][549],1000,NA,33,22.3,NA,11.9,NA,NA,NA,NA,NA,NA,10.7,NA,NA,NA,NA,9.4,NA,NA
2012-10-26,InvyMark/laSexta[550],NA,NA,32.9,26.7,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA
2012-10-17,Intercampo/GETS[551],1724,NA,29.4,27.3,NA,8.9,4.4,1.7,1,NA,NA,NA,2.1,NA,NA,NA,NA,12.1,NA,NA
2012-10-17,Intercampo/GETS[551],1724,NA,32.6,30.1,NA,7.8,4.3,1.7,1,NA,NA,NA,2.5,NA,NA,NA,NA,11.8,NA,NA
2012-10-14,CIS[552][553][554],2484,NA,35.9,28.6,NA,7.3,3.9,1.4,1.3,0.7,0.4,0.7,7.3,NA,NA,NA,NA,9.418,NA,1.67
2012-10-11,Simple Lógica[514],NA,NA,34.1,24.5,NA,9.1,3.9,1.8,NA,NA,NA,NA,9.6,NA,NA,NA,NA,11.6,NA,NA
2012-10-05,Celeste-Tel[555],1100,57.4,32.8,28,NA,9,3.8,1.7,1.5,0.8,0.8,1.4,4.8,NA,NA,NA,NA,12.724/26,NA,1.67
2012-10-04,Metroscopia/El País[556][557][558],1000,60,29.9,23.9,NA,10.2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,12.6,NA,NA
2012-09-30,NC Report[528],NA,NA,38.6,26.7,NA,NA,NA,NA,NA,NA,NA,NA,11.9,NA,NA,NA,NA,NA,NA,NA
2012-09-21,InvyMark/laSexta[550],NA,NA,34.1,29.9,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA
2012-09-13,Simple Lógica[559],1776,52.8,34.7,26,NA,8.6,2.5,1,NA,NA,NA,NA,8.7,NA,NA,NA,NA,10.7,NA,NA
2012-09-12,MyWord/Cadena SER[560][561],1100,NA,31.1,24.8,NA,13,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,11.3,NA,NA
2012-09-07,Celeste-Tel[562],1100,59.9,34,29.9,NA,8.6,4,1.6,1.2,0.8,0.8,1.7,4.1,NA,NA,NA,NA,10.820/21,NA,1.67
2012-09-06,Metroscopia/El País[563][564][565],1000,60,30.9,24.1,NA,9.8,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,12.4,NA,NA
2012-08-10,Simple Lógica[559],2009,NA,36.4,24.7,NA,9.5,3.4,0.7,NA,NA,NA,NA,11.7,NA,NA,NA,NA,11.0,NA,NA
2012-07-31,NC Report[566],955,NA,35.9,28.3,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA
2012-07-27,Celeste-Tel[567],1100,60.3,34.2,29.5,NA,8.7,4.3,1.7,1.3,1.1,0.6,1.9,4.7,NA,NA,NA,NA,10.719/20,NA,1.57
2012-07-26,Metroscopia/El País[568][569][570],1000,59,30,24.7,NA,9.9,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,12.3,NA,NA
2012-07-19,Sigma Dos/El Mundo[571],1000,NA,35.8,29.6,NA,7.8,4.1,1.4,1.1,NA,NA,NA,6.2,NA,NA,NA,NA,11.7,NA,1.3
2012-07-10,Simple Lógica[559],1006,NA,37.2,27.7,NA,9.3,3.7,0.6,NA,NA,NA,NA,9.5,NA,NA,NA,NA,10.2,NA,NA
2012-07-10,CIS[572][573],2484,NA,36.6,29.9,NA,6.6,4,1.5,1.3,0.7,0.7,0.8,6.7,NA,NA,NA,NA,8.6,NA,1.2
2012-07-06,Celeste-Tel[567],1100,62.8,40.6,29.4,NA,5.1,4.2,1.6,1.1,1.2,0.7,1,11.2,NA,NA,NA,NA,10.219/20,NA,1.56
2012-07-06,InvyMark/laSexta[574],NA,NA,40.5,31.8,NA,NA,NA,NA,NA,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA
2012-07-05,Metroscopia/El País[575][576][577],1000,65,37,23.1,NA,7.8,NA,NA,NA,NA,NA,NA,13.9,NA,NA,NA,NA,13.2,NA,NA
2012-06-28,DYM/ABC[578],857,NA,36.8,23.1,NA,7.5,4.3,1.8,NA,NA,NA,NA,13.7,NA,NA,NA,NA,13.9,NA,NA
2012-06-18,GESOP/El Periódico[579],1000,NA,38.1,28.1,NA,7.5,3.7,1.5,1,NA,NA,NA,10,NA,NA,NA,NA,10.219/20,NA,1.15/6
2012-06-16,PP[580],NA,NA,38.5,29.25,NA,7.75,NA,NA,NA,NA,NA,NA,9.25,NA,NA,NA,NA,9.0–9.5,NA,NA
2012-06-15,Simple Lógica[559],1017,NA,39.2,24.4,NA,6.8,2.5,1.7,NA,NA,NA,NA,14.8,NA,NA,NA,NA,10.7,NA,NA
2012-06-14,Sigma Dos/El Mundo[581],1000,NA,39.1,29.2,NA,6.8,4.4,1.4,1.2,NA,NA,NA,9.9,NA,NA,NA,NA,9.3,NA,1.4
2012-06-07,Metroscopia/El País[582][583][584],1004,65,37.1,25.9,NA,5.9,NA,NA,NA,NA,NA,NA,11.2,NA,NA,NA,NA,12.0,NA,NA
2012-06-07,Celeste-Tel[585],1100,63.2,40.8,29.3,NA,5.1,4,1.5,0.9,1.1,0.6,1,11.5,NA,NA,NA,NA,10.420/22,NA,1.47
2012-05-30,NC Report[586],955,NA,42.7,27.9,NA,NA,NA,NA,NA,NA,NA,NA,14.8,NA,NA,NA,NA,NA,NA,NA
2012-05-11,Simple Lógica[587],1015,64.2,39.9,27.1,NA,6.5,2.7,0.9,NA,NA,NA,NA,12.8,NA,NA,NA,NA,10.6,NA,NA
2012-05-10,Metroscopia/El País[588][589][590],1001,65,37.2,25.8,NA,6.1,NA,NA,NA,NA,NA,NA,11.4,NA,NA,NA,NA,12.2,NA,NA
2012-05-08,Celeste-Tel[585],1100,64.8,41.1,28.8,NA,5.1,3.7,1.6,1,1.2,0.7,0.8,12.3,NA,NA,NA,NA,10.520/21,NA,1.56
2012-04-25,PSOE[591],NA,NA,39.8,31,NA,NA,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA
2012-04-17,CIS[592][593][594],2484,NA,40.6,29.6,NA,5.1,3.8,1.2,1.7,0.3,0.3,0.8,11,NA,NA,NA,NA,8.615,NA,1.37
2012-04-12,Metroscopia/El País[595][596],1000,65,38.1,23,NA,5.9,NA,NA,NA,NA,NA,NA,15.1,NA,NA,NA,NA,11.6,NA,NA
2012-04-11,Simple Lógica[587],1026,NA,42,24.9,NA,6.5,3.8,1.1,NA,NA,NA,NA,17.1,NA,NA,NA,NA,10.5,NA,NA
2012-04-09,Celeste-Tel[597],1100,65.6,41.3,28.9,NA,5.3,3.9,1.5,1.2,1,0.7,0.6,12.4,NA,NA,NA,NA,10.218/20,NA,1.46
2012-03-07,Celeste-Tel[597],1100,67.2,45.1,26.1,NA,5.7,4.1,1.4,1.2,1,0.6,0.6,19,NA,NA,NA,NA,9.514/15,NA,1.36
2012-03-01,Metroscopia/El País[598][599][600],1007,71.7,46.3,24.4,NA,5.1,NA,NA,NA,NA,NA,NA,21.9,NA,NA,NA,NA,9.1,NA,NA
2012-02-28,GESOP/El Periódico[601],1000,NA,42,28.2,NA,6.4,3.6,1.2,1.2,NA,NA,NA,13.8,NA,NA,NA,NA,7.713/14,NA,1.87
2012-02-17,NC Report/La Razón[602],4800,63.8,45.6,25.6,NA,5.5,4.1,1.4,1.1,0.8,0.6,0.6,20,NA,NA,NA,NA,8.812/13,NA,1.57
2012-02-09,Metroscopia/El País[603][604][605],1003,71.7,46.2,23,NA,6.3,NA,NA,NA,NA,NA,NA,23.2,NA,NA,NA,NA,8.8,NA,NA
2012-02-07,Celeste-Tel[597],1100,67.8,44.6,27.4,NA,5.4,4.1,1.4,1.2,1,0.6,0.7,17.2,NA,NA,NA,NA,9.114/15,NA,1.46/7
2012-01-20,NC Report/La Razón[606],1000,68.2,46.3,27.8,NA,5.1,4.2,1.4,1.1,0.8,0.6,0.5,18.5,NA,NA,NA,NA,7.411/12,NA,1.37
2012-01-15,CIS[607][608],2480,NA,42.7,28,NA,5.7,3.4,1.4,1.4,0.5,0.4,0.8,14.7,NA,NA,NA,NA,7.9,NA,1.1
2012-01-06,Celeste-Tel[597],1100,69.1,46.1,28.8,NA,5.2,4,1.4,1.1,0.8,0.6,0.5,17.3,NA,NA,NA,NA,7.612,NA,1.36
2012-01-05,Metroscopia/El País[609][610][611],1000,71.7,46.4,26.5,NA,4.6,NA,NA,NA,NA,NA,NA,19.9,NA,NA,NA,NA,7.7,NA,NA
2011-12-15,Metroscopia/El País[612][613],1000,71.7,44.9,28.4,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,16.5,NA
2011-11-20,2011 general election,NA,68.9,44.6,28.8,NA,4.7,4.2,NA,1.3,1.1,0.8,0.6,0.5,NA,NA,NA,NA,6.911,15.8,1.47
