date,Firm,Sample,Turnout,People%27s_Party_(Spain),Spanish_Socialist_Workers%27_Party,Popular_Unity_(Spain),"Union,_Progress_and_Democracy",Convergence_and_Union,EH_Bildu,Basque_Nationalist_Party,Republican_Left_of_Catalonia%E2%80%93Catalonia_Yes,Galician_Nationalist_Bloc,Canarian_Coalition,Coalici%C3%B3_Comprom%C3%ADs,Citizens_(Spanish_political_party),Podemos_(Spanish_political_party),Democratic_Convergence_of_Catalonia,Democracy_and_Freedom,"Plural_Left_(Spain,_2011)",Lead,Amaiur
2015-01-10,PP[305][306],NA,NA,28.5,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,3.5,NA,NA,NA
2015-01-09,Celeste-Tel/eldiario.es[307][308],1100,60.2,31.1,23.8,4.7,2.7,2.1,1.1,1,2,0.6,0.5,0.6,4.5,20.9,NA,7.3,NA,NA,NA
2015-01-08,Metroscopia/El País[309][310],1000,71.6,19.2,23.5,5.3,5,NA,NA,NA,NA,NA,NA,NA,8.1,28.2,NA,4.7,NA,NA,NA
2015-01-06,MyWord/Cadena SER[311][312],1001,NA,24.6,19,3.7,5.5,1.9,NA,NA,2.4,NA,NA,NA,5,27.5,NA,2.9,NA,NA,NA
2014-12-30,NC Report/La Razón[313][314],1600,66.1,28.6,23.4,NA,3.9,2.6,0.8,1.3,2,NA,NA,NA,2.8,23.2,NA,NA,5.16/10,5.2,NA
2014-12-19,InvyMark/laSexta[315][316],1200,NA,25.5,22,NA,5.2,2.9,NA,1.2,3.1,NA,NA,NA,3.1,25.3,NA,NA,4.5,0.2,NA
2014-12-18,Sigma Dos/Mediaset[317][318],1800,NA,26.5,18.7,NA,4.4,2.8,NA,1.1,2.8,NA,NA,NA,3.1,28.7,NA,NA,5.3,2.2,NA
2014-12-15,GESOP/El Periódico[319][320][321],1000,NA,26.1,19.8,NA,6.5,2.9,NA,NA,2.2,NA,NA,NA,3.8,25.6,NA,NA,4.12/4,0.5,NA
2014-12-13,DYM/El Confidencial[322],NA,NA,26.1,16.7,NA,5.9,NA,NA,NA,NA,NA,NA,NA,4.2,29.6,NA,NA,5.6,3.5,NA
2014-12-10,Simple Lógica[301],1039,NA,23.1,19.3,NA,5.4,0.9,NA,0.3,NA,NA,NA,NA,NA,31.1,NA,NA,5.5,8.0,NA
2014-12-05,Celeste-Tel/eldiario.es[323][324],1100,60.7,29.9,24.1,NA,3.2,2,1,1,2.1,0.6,0.6,0.7,3.9,21.7,NA,NA,4.910/11,5.8,NA
2014-12-05,InvyMark/laSexta[325][326],NA,NA,25.7,21.8,NA,5.5,3,NA,NA,3.1,NA,NA,NA,2.7,24.8,NA,NA,4.6,0.9,NA
