date,Firm,Sample,Turnout,Spanish_Socialist_Workers%27_Party,People%27s_Party_(Spain),Vox_(political_party),Unidas_Podemos,Citizens_(Spanish_political_party),Republican_Left_of_Catalonia%E2%80%93Sovereigntists,M%C3%A1s_Pa%C3%ADs,Together_for_Catalonia_(2020),Basque_Nationalist_Party,EH_Bildu,Popular_Unity_Candidacy,Canarian_Coalition%E2%80%93New_Canaries,Galician_Nationalist_Bloc,Navarra_Suma,Regionalist_Party_of_Cantabria,Teruel_Existe,Lead,Together_for_Catalonia_(2017)
2021-11-19,ElectoPanel/Electomanía[43],1564,NA,25.7,25.7,18.2,11.5,3,3.5,2.8,2.4,1.5,1.2,0.9,0.5,0.8,0.4,0.3,0.1,Tie,NA
2021-11-19,IMOP/El Confidencial[44],1343,NA,27.1,26.8,16.7,11,2.2,3,3,2.2,1.6,1,1,0.4,1.1,0.4,0.2,0.1,0.3,NA
2021-11-16,Celeste-Tel/Onda Cero[45][46],1100,63.4,26.1,28.5,15.4,10.5,3.4,3.1,4,2.2,1.6,1.1,0.9,0.5,0.7,0.4,0.2,0.1,2.4,NA
2021-11-15,Simple Lógica[47],1026,62.9,24.3,23,18.3,11.4,2.8,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA
2021-11-11,Sigma Dos/El Mundo[48][49],1688,NA,25.9,29.1,15.4,10.5,3,3,3.6,2,1.8,NA,NA,NA,NA,NA,NA,NA,3.2,NA
2021-11-11,GAD3/NIUS[50][51],1001,66,24.9,29.5,14.7,11.8,2.5,3.3,2.8,1.9,1.6,1,0.8,0.6,0.7,0.4,0.2,0.1,4.6,NA
2021-11-11,ElectoPanel/Electomanía[52],1502,NA,25.8,26.2,17.9,11.5,3,3.4,2.8,2.3,1.5,1.2,0.9,0.5,0.8,0.4,0.3,0.1,0.4,NA
2021-11-11,CIS[53][54][55],3779,NA,27.6,20.9,14.3,13.6,5.7,2.6,3.1,1.5,1.4,0.8,1,0.4,0.6,0.4,0.1,0.1,6.7,NA
2021-11-10,Hamalgama Métrica/VozPópuli[56],1000,NA,25.8,28.3,16.1,10.3,2.8,3.3,3.4,2.3,1.5,1.1,0.9,0.5,0.6,0.4,0.2,0.1,2.5,NA
2021-11-08,SocioMétrica/El Español[57][58],1200,NA,25.4,25.5,16.8,12.4,3.9,3.2,3.3,1.8,1.4,1,0.9,0.6,0.6,0.4,0.2,0.1,0.1,NA
2021-11-06,NC Report/La Razón[59][60],1000,62.6,25.2,29.3,15.2,9.8,2.9,3.4,3,2.2,1.7,1,NA,NA,NA,0.4,NA,NA,4.1,NA
2021-11-06,IMOP/El Confidencial[61],1342,NA,26.3,27.1,16.4,11.5,2.4,3.1,3.1,2,1.7,1.1,1.1,0.4,1,0.5,0.2,0.1,0.8,NA
2021-11-05,InvyMark/laSexta[62],NA,NA,26,28.2,16.9,8.7,1.5,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA
2021-11-04,Data10/OKDiario[63],1000,NA,25.2,28.8,16.2,10.3,2.5,3.2,3.8,2.2,1.6,1.1,0.9,0.4,0.7,0.4,0.2,0.1,3.6,NA
2021-11-04,ElectoPanel/Electomanía[64],1479,NA,25.4,27.3,17.4,11.2,3,3.4,2.8,2.3,1.5,1.2,0.9,0.5,0.8,0.4,0.3,0.1,1.9,NA
2021-11-04,Metroscopia[65][66],2400,66,26.5,25.2,18,11,2.7,NA,3,NA,NA,NA,NA,NA,NA,0.4,NA,NA,1.3,NA
2021-10-30,SW Demoscopia[67],1203,NA,25.3,25.5,17.9,11.2,3,3.6,3.4,2.1,1.6,1.1,0.9,0.6,NA,0.4,0.2,NA,0.2,NA
2021-10-29,ElectoPanel/Electomanía[68],1228,NA,25.5,27.7,17.3,10.8,2.9,3.3,2.9,2.3,1.6,1.1,0.9,0.5,0.7,0.4,0.3,0.1,2.2,NA
2021-10-24,DYM/Henneo[69],1000,NA,24.7,29.2,14.6,13.2,3.7,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA
2021-10-22,Celeste-Tel/Onda Cero[70][71],1100,63.3,26.4,28.9,15.1,10,3.4,3.2,4.1,2.2,1.6,1.1,0.9,0.5,0.7,0.4,0.2,0.1,2.5,NA
2021-10-22,ElectoPanel/Electomanía[72],1822,NA,25.8,27.9,17.3,10.5,2.7,3.3,3.1,2.3,1.5,1.1,0.9,0.5,0.7,0.4,0.3,0.1,2.1,NA
2021-10-22,IMOP/El Confidencial[73],1338,NA,25.8,28,15.9,11,2.6,3.2,3.5,1.9,1.7,1.2,1,0.3,1.1,0.5,0.2,0.1,2.2,NA
2021-10-21,Sigma Dos/El Mundo[74][75],1928,NA,25.5,28.9,15,10.9,3.1,3.1,3.1,2,1.9,NA,NA,NA,NA,NA,NA,NA,3.4,NA
2021-10-20,KeyData/Público[76],NA,65.6,25.8,28.2,15.7,10.4,3,3.6,3.6,2.1,1.6,1.1,1,0.5,NA,NA,NA,NA,2.4,NA
